timestamp,open,high,low,close,volume
2025-03-18,5775.0,5825.0,4580.0,5050.0,49691200
2025-03-19,5125.0,5400.0,4940.0,5300.0,21392000
2025-03-20,5350.0,5800.0,5325.0,5600.0,23914000
2025-03-21,5675.0,6350.0,5400.0,5975.0,44922600
2025-03-24,6000.0,6100.0,5100.0,5450.0,25866200
2025-03-25,5525.0,5625.0,5125.0,5125.0,15840600
2025-03-26,5150.0,5575.0,5125.0,5450.0,15462000
2025-03-27,5500.0,5675.0,5350.0,5500.0,10002700
2025-04-08,4790.0,4980.0,4690.0,4740.0,23613500
2025-04-09,4700.0,4820.0,4170.0,4250.0,24074500
2025-04-10,4700.0,5175.0,4620.0,5000.0,32828300
2025-04-11,5000.0,5450.0,4890.0,5150.0,19504500
2025-04-14,4800.0,5675.0,4760.0,5650.0,33865700
2025-04-15,5750.0,6050.0,5575.0,5900.0,27318000
2025-04-16,5975.0,6050.0,5600.0,5600.0,20798300
2025-04-17,5600.0,5725.0,5525.0,5600.0,8101700
2025-04-21,5625.0,5800.0,5525.0,5600.0,6984400
2025-04-22,5600.0,6025.0,5475.0,6000.0,21718600
2025-04-23,6200.0,6375.0,6050.0,6100.0,20022000
2025-04-24,6100.0,6175.0,5850.0,6000.0,55496500
2025-04-25,6050.0,6050.0,5925.0,6000.0,9172000
2025-04-28,6050.0,6250.0,5900.0,6050.0,26241400
2025-04-29,6100.0,6175.0,6025.0,6025.0,8116900
2025-04-30,6050.0,6125.0,5950.0,6025.0,7406500
2025-05-02,6100.0,6150.0,6025.0,6100.0,11343400
2025-05-05,6150.0,6375.0,6125.0,6150.0,14416100
2025-05-06,6175.0,6250.0,6100.0,6200.0,23176000
2025-05-07,6250.0,6550.0,6100.0,6100.0,70037000
2025-05-08,6175.0,6250.0,5925.0,5950.0,21520300
2025-05-09,6000.0,6150.0,5900.0,6000.0,9024500
2025-05-14,6150.0,6275.0,6075.0,6175.0,17243800
2025-05-15,6225.0,6300.0,6175.0,6200.0,21087000
2025-05-16,6200.0,6825.0,6150.0,6675.0,66787100
2025-05-19,6700.0,6775.0,6500.0,6500.0,27206000
2025-05-20,6650.0,6850.0,6475.0,6500.0,42947100
2025-05-21,6500.0,6550.0,6300.0,6500.0,18383400
2025-05-22,6500.0,6600.0,6450.0,6500.0,8950800
2025-05-23,6550.0,6800.0,6500.0,6650.0,18462000
2025-05-26,6675.0,6750.0,6500.0,6525.0,19338300
2025-05-27,6575.0,6725.0,6500.0,6575.0,16376900
2025-05-28,6625.0,6675.0,6500.0,6500.0,10009200
2025-06-02,6525.0,6575.0,6250.0,6275.0,13383300
2025-06-03,6300.0,6350.0,6100.0,6200.0,10494200
2025-06-04,6225.0,6250.0,6150.0,6150.0,6962600
2025-06-05,6200.0,6550.0,6200.0,6350.0,21487100
2025-06-10,6450.0,6900.0,6425.0,6725.0,46468500
2025-06-11,6850.0,6900.0,6500.0,6575.0,30497100
2025-06-12,6500.0,6650.0,6425.0,6450.0,18601700
2025-06-13,6450.0,6475.0,6325.0,6375.0,20286500
2025-06-16,6400.0,6450.0,6300.0,6325.0,13282300
2025-06-17,6400.0,6500.0,6300.0,6400.0,16143200
2025-06-18,6400.0,6400.0,6300.0,6300.0,9674300
2025-06-19,6350.0,6350.0,6025.0,6125.0,19086900
2025-06-20,6125.0,6175.0,6000.0,6050.0,18678500
2025-06-23,5850.0,5925.0,5650.0,5800.0,14815400
2025-06-24,5950.0,6050.0,5800.0,5850.0,14893700
2025-06-25,5875.0,5975.0,5775.0,5775.0,8470800
2025-06-26,5775.0,5900.0,5750.0,5775.0,6855600
2025-06-30,5875.0,5925.0,5775.0,5875.0,13487000
2025-07-01,5900.0,6225.0,5850.0,5900.0,22084700
2025-07-02,5925.0,6050.0,5700.0,5825.0,15638000
2025-07-03,5850.0,5875.0,5725.0,5750.0,3185700
2025-07-04,5800.0,5825.0,5650.0,5700.0,4715800
2025-07-07,5775.0,5925.0,5700.0,5825.0,15984900
2025-07-08,5850.0,6050.0,5775.0,6000.0,11718100
2025-07-09,6050.0,6125.0,5925.0,5975.0,9563400
2025-07-10,6000.0,6200.0,5975.0,6100.0,15585100
2025-07-11,6150.0,6200.0,6050.0,6100.0,12951800
2025-07-14,7300.0,7300.0,6725.0,7300.0,150102200
2025-07-15,7550.0,8500.0,7425.0,7750.0,121620600
2025-07-16,7850.0,7875.0,7350.0,7700.0,55971100
2025-07-17,7550.0,7950.0,7550.0,7725.0,38443100
2025-07-18,7800.0,8450.0,7725.0,8000.0,95900700
2025-07-21,8125.0,8175.0,7750.0,7900.0,45820100
2025-07-22,8125.0,8375.0,7875.0,7875.0,70858500
2025-07-23,7925.0,8025.0,7550.0,7825.0,33058300
2025-07-24,7825.0,7950.0,7700.0,7725.0,20312400
2025-07-25,7725.0,7775.0,7500.0,7650.0,20860300
2025-07-28,7650.0,7950.0,7625.0,7925.0,29391500
2025-07-29,8000.0,8000.0,7800.0,7925.0,21903100
2025-07-30,8000.0,8100.0,7750.0,7825.0,22115500
2025-07-31,7825.0,7875.0,7700.0,7825.0,10829100
2025-08-01,7900.0,7925.0,7775.0,7800.0,15546700
2025-08-04,7800.0,7800.0,7150.0,7200.0,38666700
2025-08-05,7225.0,7300.0,6775.0,7075.0,35004600
2025-08-06,7200.0,7450.0,7075.0,7225.0,21124000
2025-08-07,7325.0,7375.0,7025.0,7250.0,25660000
2025-08-08,7925.0,8050.0,7375.0,7950.0,73663400
2025-08-11,8050.0,8825.0,7850.0,8750.0,84544500
2025-08-12,8900.0,9325.0,8825.0,9100.0,72575500
2025-08-13,9150.0,9450.0,8875.0,9100.0,55874800
2025-08-14,9200.0,9375.0,9150.0,9225.0,37491300
2025-08-15,9275.0,9325.0,8700.0,8750.0,39895400
2025-08-19,8750.0,8925.0,8475.0,8575.0,30511700
2025-08-20,8600.0,8750.0,8550.0,8600.0,15708700
2025-08-21,8600.0,8600.0,8250.0,8425.0,23015500
2025-08-22,8425.0,8575.0,8350.0,8525.0,18611300
2025-08-25,8575.0,9050.0,8525.0,8925.0,27637600
2025-08-26,8975.0,9100.0,8650.0,8875.0,37895200
2025-08-27,9000.0,9850.0,8950.0,9800.0,76579700
2025-08-28,9750.0,9850.0,9175.0,9300.0,50123200
2025-08-29,9000.0,9425.0,8825.0,9025.0,51571200
2025-09-01,8650.0,9125.0,8600.0,8950.0,48145300
2025-09-02,9050.0,9100.0,8825.0,8825.0,27352000
2025-09-03,8875.0,8925.0,8600.0,8600.0,30961700
2025-09-04,8600.0,8725.0,8525.0,8625.0,15343800
2025-09-08,8675.0,8950.0,8550.0,8575.0,31595900
2025-09-09,8600.0,8725.0,8250.0,8325.0,24691700
2025-09-10,8525.0,8650.0,8350.0,8550.0,19395400
2025-09-11,8600.0,8650.0,8400.0,8550.0,15391700
2025-09-12,8700.0,8850.0,8600.0,8650.0,16236100
2025-09-15,8650.0,8950.0,8650.0,8875.0,19471400
2025-09-16,9000.0,9050.0,8775.0,8875.0,11936400
2025-09-17,8875.0,9200.0,8775.0,8925.0,25326200
2025-09-18,8950.0,9200.0,8900.0,9075.0,42983000
2025-09-19,9125.0,9125.0,8800.0,9050.0,38933800
2025-09-22,9050.0,9050.0,8775.0,8925.0,30798500
2025-09-23,8925.0,9200.0,8900.0,9025.0,29343200
2025-09-24,9150.0,9400.0,8875.0,8875.0,57939000
2025-09-25,8850.0,9100.0,8525.0,8800.0,33165700
2025-09-26,9000.0,9300.0,8925.0,9025.0,35396100
2025-09-29,9025.0,9950.0,8975.0,9675.0,102431800
2025-09-30,9800.0,9800.0,9275.0,9375.0,39361700
2025-10-01,9425.0,9500.0,9150.0,9150.0,31562600
2025-10-02,9175.0,9275.0,9025.0,9175.0,23891800
2025-10-03,9375.0,9800.0,9350.0,9550.0,53213300
2025-10-06,9675.0,10150.0,9575.0,9975.0,67361900
2025-10-07,10150.0,10350.0,9900.0,9975.0,43961800
2025-10-08,10050.0,10100.0,9300.0,9650.0,43227100
2025-10-09,9700.0,10075.0,9500.0,9875.0,38499900
2025-10-10,9900.0,9975.0,9650.0,9850.0,37198100
2025-10-13,9600.0,10250.0,9575.0,9825.0,52095700
2025-10-14,9850.0,9900.0,9100.0,9675.0,47389000
2025-10-15,9675.0,9725.0,9250.0,9550.0,30362500
2025-10-16,9650.0,9825.0,9475.0,9800.0,26735900
2025-10-17,9800.0,9800.0,9100.0,9300.0,48110600
2025-10-20,9350.0,9425.0,9125.0,9275.0,20358300
2025-10-21,9250.0,9350.0,9200.0,9250.0,10678300
2025-10-22,9250.0,9275.0,9075.0,9100.0,15204100
2025-10-23,9125.0,9175.0,8850.0,9025.0,21356000
2025-10-24,9000.0,9300.0,8950.0,9175.0,18440900
2025-10-27,9050.0,9075.0,7800.0,8900.0,156992400
2025-10-28,8900.0,8975.0,8400.0,8900.0,39432500
2025-10-29,8975.0,9000.0,8675.0,8750.0,20629000
2025-10-30,8750.0,8900.0,8525.0,8625.0,14234100
2025-10-31,8700.0,8850.0,8650.0,8675.0,11425900
2025-11-03,8800.0,9400.0,8775.0,9275.0,48431600
2025-11-04,9400.0,9750.0,9175.0,9225.0,55631300
2025-11-05,9200.0,9750.0,9125.0,9750.0,53216800
2025-11-06,10000.0,10175.0,9500.0,9925.0,103014800
2025-11-07,9925.0,9975.0,9750.0,9975.0,32421800
2025-11-10,10000.0,10725.0,9975.0,10225.0,84614200
2025-11-11,10325.0,10350.0,9900.0,10025.0,39156400
2025-11-12,10050.0,10100.0,9875.0,9925.0,24978600
2025-11-13,9975.0,10025.0,9725.0,9900.0,39026800
2025-11-14,9825.0,9900.0,9750.0,9750.0,18481200
2025-11-17,9800.0,9925.0,9675.0,9725.0,24739000
2025-11-18,9750.0,9800.0,9575.0,9625.0,22462800
2025-11-19,9725.0,9775.0,9600.0,9675.0,23150100
2025-11-20,9775.0,9875.0,9675.0,9800.0,47084000
2025-11-21,9800.0,9900.0,9675.0,9850.0,53431000
2025-11-24,10025.0,10125.0,9775.0,10125.0,694632000
2025-11-25,10125.0,10125.0,9625.0,9650.0,34782900
2025-11-26,9850.0,9850.0,9400.0,9575.0,41654800
2025-11-27,9525.0,9600.0,9400.0,9525.0,23357600
2025-11-28,9575.0,9625.0,9450.0,9575.0,21597800
2025-12-01,9625.0,9625.0,9400.0,9550.0,10400800
2025-12-02,9550.0,9650.0,9525.0,9650.0,18978500
2025-12-03,9675.0,9700.0,9525.0,9625.0,8797100
2025-12-04,9600.0,9625.0,9450.0,9450.0,5266400
2025-12-05,9450.0,9650.0,9450.0,9625.0,7697300
2025-12-08,9625.0,9650.0,9500.0,9650.0,7491700
2025-12-09,9525.0,9600.0,9425.0,9575.0,10046600
2025-12-10,9550.0,9650.0,9450.0,9625.0,9881100
2025-12-11,9650.0,9650.0,9450.0,9450.0,7489400
2025-12-12,9550.0,9600.0,9450.0,9575.0,12996800
2025-12-15,9625.0,9650.0,9475.0,9500.0,8838100
2025-12-16,9450.0,9800.0,9300.0,9800.0,22256800
2025-12-17,9825.0,9875.0,9600.0,9725.0,8889900
2025-12-18,9675.0,9700.0,9450.0,9450.0,7204600
2025-12-19,9475.0,9550.0,9325.0,9375.0,11809000
2025-12-22,9400.0,9550.0,9350.0,9500.0,7242700
2025-12-23,9575.0,9575.0,9375.0,9425.0,5424200
2025-12-24,9450.0,9450.0,9300.0,9325.0,4142600
2025-12-29,9325.0,9625.0,9325.0,9525.0,7204500
2025-12-30,9600.0,9700.0,9475.0,9700.0,10900100
2026-01-02,9700.0,9800.0,9650.0,9675.0,5601000
2026-01-05,9700.0,9700.0,9500.0,9650.0,6321800
2026-01-06,9600.0,9650.0,9525.0,9575.0,6441000
2026-01-07,9575.0,9600.0,9425.0,9600.0,7914600
2026-01-08,9550.0,9700.0,9500.0,9550.0,9401800
2026-01-09,9550.0,9550.0,9450.0,9475.0,6306400
2026-01-12,9475.0,9475.0,8550.0,9000.0,14459900
2026-01-13,9000.0,9200.0,8650.0,9200.0,12282600
2026-01-14,9700.0,9800.0,9500.0,9650.0,30130800
2026-01-15,9650.0,9700.0,9450.0,9700.0,15750100
2026-01-19,9550.0,9650.0,9475.0,9575.0,14129000
2026-01-20,9575.0,9600.0,9450.0,9500.0,9699100
2026-01-21,9500.0,9500.0,9225.0,9300.0,10705000
2026-01-22,9375.0,9500.0,9300.0,9500.0,13300300
2026-01-23,9500.0,9500.0,8875.0,9300.0,16082000
2026-01-26,9300.0,9475.0,9225.0,9375.0,9753300
2026-01-27,9450.0,9600.0,9375.0,9500.0,27099500
2026-01-28,8100.0,8800.0,8075.0,8300.0,37142800
2026-01-29,7450.0,9200.0,7075.0,8675.0,44811400
2026-01-30,8850.0,8875.0,8325.0,8525.0,36041400
2026-02-02,8550.0,8550.0,7800.0,8325.0,23613300
2026-02-03,8200.0,8350.0,7900.0,8225.0,21094900
2026-02-04,8225.0,8600.0,8150.0,8200.0,15842900
2026-02-05,8250.0,8275.0,8125.0,8250.0,7653100
2026-02-06,8175.0,8175.0,7900.0,8025.0,11159500
2026-02-09,8025.0,8125.0,7900.0,8050.0,4484400
2026-02-10,8050.0,8075.0,7925.0,8000.0,6433400
2026-02-11,8000.0,8350.0,7975.0,8300.0,26345300
2026-02-12,8400.0,8425.0,8000.0,8200.0,18471300
2026-02-13,8125.0,8125.0,7925.0,8000.0,7032600
2026-02-18,8000.0,8350.0,8000.0,8225.0,12550100
2026-02-19,8300.0,8325.0,8100.0,8100.0,5262700
2026-02-20,8150.0,8175.0,8025.0,8050.0,3038700
2026-02-23,8100.0,8150.0,8075.0,8075.0,3662600
2026-02-24,8100.0,8225.0,7950.0,7950.0,11859800
2026-02-25,8050.0,8075.0,7775.0,7775.0,8223800
2026-02-26,7850.0,8000.0,7675.0,7850.0,9281900
2026-02-27,7800.0,8225.0,7400.0,8225.0,35921400
2026-03-02,8050.0,8150.0,7675.0,7775.0,11101200
2026-03-03,7775.0,7850.0,7575.0,7575.0,3985100
2026-03-04,7500.0,7500.0,7000.0,7425.0,11161100
2026-03-05,7525.0,7675.0,7225.0,7300.0,7303900
2026-03-06,7300.0,7725.0,7025.0,7725.0,7039400
2026-03-09,7325.0,7575.0,6800.0,7350.0,7668700
2026-03-10,7425.0,7550.0,7150.0,7150.0,6038800
2026-03-11,7225.0,7225.0,6975.0,6975.0,3149400
2026-03-12,6975.0,7000.0,6575.0,6575.0,5889900
2026-03-13,6600.0,6675.0,6300.0,6300.0,10029100
2026-03-16,6075.0,6175.0,5775.0,5975.0,10642100
2026-03-17,6075.0,6100.0,5600.0,5800.0,22312300
2026-03-25,5800.0,6050.0,5625.0,5800.0,16589500
2026-03-26,5800.0,5800.0,5400.0,5550.0,7900900
2026-03-27,5475.0,5550.0,5325.0,5525.0,9643000
2026-03-30,5400.0,5650.0,5225.0,5475.0,8403400
2026-03-31,5500.0,5575.0,5175.0,5250.0,7254200
2026-04-01,5350.0,5575.0,5350.0,5500.0,6543600
2026-04-02,5475.0,5475.0,4800.0,4800.0,14761900
2026-04-06,4510.0,4600.0,4140.0,4360.0,35650500
2026-04-07,4360.0,4680.0,4290.0,4650.0,38142600
2026-04-08,5650.0,5650.0,4830.0,5000.0,25956500
2026-04-09,5000.0,5700.0,4870.0,5700.0,40474400
2026-04-10,5725.0,6000.0,5525.0,5800.0,37599200
2026-04-13,5700.0,6100.0,5550.0,6075.0,20617100
2026-04-14,6125.0,6575.0,6125.0,6500.0,20517000
2026-04-15,6600.0,6675.0,6200.0,6450.0,20185300
2026-04-16,6400.0,6625.0,6050.0,6325.0,20777100
2026-04-17,6325.0,6625.0,6250.0,6625.0,25934000
2026-04-20,6600.0,6700.0,6350.0,6600.0,64129100
2026-04-21,6450.0,6475.0,5950.0,5975.0,37541900
2026-04-22,5325.0,5700.0,5325.0,5400.0,22019100
2026-04-23,5325.0,5550.0,4930.0,4930.0,25968800
2026-04-24,5000.0,5125.0,4620.0,4620.0,20415900
2026-04-27,4630.0,4850.0,4630.0,4660.0,10239200
2026-04-28,4740.0,4790.0,4510.0,4650.0,9734000
2026-04-29,4680.0,4730.0,4610.0,4730.0,5482300
2026-04-30,4730.0,4880.0,4360.0,4460.0,15291500
2026-05-04,4470.0,4750.0,4430.0,4600.0,8043000
2026-05-05,4600.0,4840.0,4470.0,4730.0,17771000
2026-05-06,4770.0,4830.0,4620.0,4820.0,18716700
2026-05-07,4840.0,5125.0,4520.0,4650.0,29886300
2026-05-08,4560.0,4600.0,4100.0,4100.0,27905000
2026-05-11,4110.0,4160.0,3780.0,3790.0,23224000
2026-05-12,3790.0,3910.0,3560.0,3610.0,22944400
2026-05-13,3430.0,3490.0,3200.0,3200.0,80031300
2026-05-14,3200.0,3200.0,3200.0,3200.0,0
2026-05-15,3200.0,3200.0,3200.0,3200.0,0
2026-05-18,2970.0,3410.0,2880.0,3190.0,139364900
2026-05-19,3190.0,3250.0,2900.0,3020.0,103461200
2026-05-20,2930.0,3000.0,2630.0,2790.0,62100900
2026-05-21,2600.0,2740.0,2410.0,2570.0,50892700
2026-05-22,2600.0,2660.0,2400.0,2450.0,110164800
2026-05-25,2450.0,2530.0,2300.0,2380.0,98632800
2026-05-26,2340.0,2810.0,2300.0,2640.0,211822800
2026-05-27,2640.0,2640.0,2640.0,2640.0,0
2026-05-28,2640.0,2640.0,2640.0,2640.0,0
2026-05-29,3300.0,3300.0,3300.0,3300.0,682231400
2026-06-02,4120.0,4120.0,3630.0,4120.0,298798900
2026-06-03,4120.0,4220.0,3770.0,4160.0,119643500
2026-06-04,4150.0,4180.0,3670.0,4000.0,97352700
2026-06-05,4010.0,4100.0,3430.0,3590.0,67120200
2026-06-08,3480.0,3590.0,3250.0,3590.0,40689100
2026-06-09,3600.0,4150.0,3400.0,4090.0,109096100
2026-06-10,4090.0,4330.0,3930.0,4220.0,75350800
2026-06-11,4220.0,4230.0,3870.0,4040.0,39206100
2026-06-12,4070.0,4270.0,4060.0,4080.0,51411300
2026-06-15,4130.0,4460.0,4130.0,4250.0,55137300
2026-06-17,4250.0,4280.0,3700.0,3740.0,89958300
2026-06-18,3780.0,3970.0,3730.0,3820.0,36116600
2026-06-19,3750.0,3850.0,3730.0,3730.0,14252500
2026-06-22,3770.0,3800.0,3590.0,3670.0,18146600
2026-06-23,3670.0,3810.0,3610.0,3690.0,46826000
2026-06-24,3730.0,3840.0,3660.0,3710.0,49566000
2026-06-25,3610.0,3810.0,3600.0,3650.0,24681500
2026-06-26,3680.0,3680.0,3330.0,3350.0,20337100
2026-06-29,3350.0,3380.0,3180.0,3200.0,16437800
2026-06-30,3210.0,3280.0,3040.0,3090.0,17906100
2026-07-01,3100.0,3490.0,3090.0,3360.0,35589100
2026-07-02,3320.0,3550.0,3220.0,3250.0,29088700
2026-07-03,3300.0,3540.0,3290.0,3400.0,51464400
2026-07-06,3420.0,3530.0,3340.0,3440.0,75256400
2026-07-07,3460.0,3480.0,3380.0,3420.0,109235000
2026-07-08,3420.0,3550.0,3240.0,3250.0,83199300
2026-07-09,3250.0,3330.0,3230.0,3280.0,44516600
2026-07-10,3290.0,3320.0,3130.0,3170.0,34684900
2026-07-13,3200.0,3230.0,3150.0,3230.0,11345000
2026-07-14,3280.0,3590.0,3270.0,3380.0,45213900
2026-07-15,3450.0,3520.0,3360.0,3430.0,21965900
2026-07-16,3450.0,3500.0,3350.0,3490.0,18527800
2026-07-17,3490.0,3500.0,3400.0,3420.0,26807700
2026-07-20,3420.0,3460.0,3330.0,3360.0,27429200
